,bus,element,closed,from_ppci,to_ppci
267,3583,2929,False,3583,2929
268,31,886,True,31,886
269,3045,354,True,3045,354
270,1912,3152,True,1912,3152
271,2238,3444,False,2238,3444
272,2185,3039,True,2185,3039
273,1037,1009,True,1037,1009
274,1006,1338,False,1006,1338
275,190,1457,False,190,1457
276,704,671,True,704,671
277,1720,2057,True,1720,2057
278,1478,3646,True,1478,3646
279,190,1609,False,190,1609
280,156,2705,True,156,2705
281,2264,1559,False,2264,1559
282,3622,3761,False,3622,3761
283,2233,2840,True,2233,2840
284,3410,2027,True,3410,2027
285,1950,2346,True,1950,2346
286,2868,2840,False,2868,2840
287,2722,261,False,2722,261
288,273,182,True,273,182
289,2504,1341,False,2504,1341
290,1417,2400,True,1417,2400
291,1759,1141,True,1759,1141
292,678,2840,True,678,2840
293,1475,3416,True,1475,3416
294,1781,3102,True,1781,3102
295,2527,554,True,2527,554
296,1510,1299,False,1510,1299
297,422,3577,True,422,3577
298,263,3293,True,263,3293
299,2217,2063,True,2217,2063
300,3524,1702,True,3524,1702
301,2340,3008,False,2340,3008
302,3667,1106,False,3667,1106
303,2761,2567,True,2761,2567
304,2834,3357,True,2834,3357
305,2911,2717,True,2911,2717
306,250,1401,False,250,1401
307,145,3771,False,145,3771
308,3155,507,False,3155,507
309,262,183,True,262,183
310,2634,3578,True,2634,3578
311,2504,2437,True,2504,2437
312,1130,1891,True,1130,1891
313,3671,3540,True,3671,3540
314,2150,2893,True,2150,2893
315,771,2555,False,771,2555
316,598,559,True,598,559
317,2626,3375,False,2626,3375
318,668,2389,True,668,2389
319,3400,1352,True,3400,1352
320,771,144,True,771,144
321,2475,2178,True,2475,2178
322,229,405,True,229,405
323,582,630,False,582,630
324,573,926,True,573,926
325,3190,2655,False,3190,2655
326,1502,1348,True,1502,1348
327,934,2853,True,934,2853
328,1475,3753,False,1475,3753
329,833,2967,True,833,2967
330,3184,3753,False,3184,3753
331,1819,3761,False,1819,3761
332,2818,1669,True,2818,1669
333,2894,2782,True,2894,2782
334,2261,3730,False,2261,3730
335,996,1563,True,996,1563
336,1620,3443,False,1620,3443
337,213,1099,True,213,1099
338,671,410,False,671,410
339,2859,496,False,2859,496
340,2068,1880,True,2068,1880
341,2543,1453,False,2543,1453
342,1326,1074,True,1326,1074
343,2954,3443,False,2954,3443
344,2461,2322,True,2461,2322
345,474,929,True,474,929
346,826,477,False,826,477
347,1289,1907,True,1289,1907
348,3523,3718,False,3523,3718
349,265,2496,True,265,2496
350,3318,3083,True,3318,3083
351,1167,1942,True,1167,1942
352,2543,3019,False,2543,3019
353,3314,596,True,3314,596
354,3489,3664,True,3489,3664
355,294,639,False,294,639
356,1924,2705,True,1924,2705
357,3511,1003,True,3511,1003
358,3043,737,True,3043,737
359,3405,2792,False,3405,2792
360,878,2407,False,878,2407
361,2922,2524,True,2922,2524
362,216,2199,True,216,2199
363,1638,3343,True,1638,3343
