pp_idx,ppci_idx,name,vn_kv,isolated,sw_only
116,116,CNN_0504191336400151938820_E_551,110.0,False,False
117,117,CNN_712_E_18556_22,110.0,False,True
118,118,CNN_0505061617000169191010_E_193,110.0,False,False
119,119,CNN_729_E_28454_6,110.0,False,False
120,120,CNN_335B_E_3351_4,110.0,False,False
121,121,CNN_173A_J_20930_95,20.0,True,True
122,122,CNN_590B_E_5518_7,110.0,False,False
123,123,CNN_290F_E_16312_1,110.0,False,False
124,124,CNN_51001.91b W5/2 schwarz_E_147,110.0,False,True
125,125,CNN_F10R_C_18519_18,380.0,True,True
126,126,CNN_F10R_H_18517_1,30.0,False,False
127,127,CNN_645_J_1_12,3.0,True,True
128,128,CNN_0504200739130175420544_E_553,110.0,False,True
129,129,CNN_0505081035070821588768_E_198,110.0,False,True
130,130,CNN_144G_E_138_9,110.0,False,True
131,131,CNN_630A4_E_3320_4,110.0,False,False
132,132,CNN_692_E_9672_3,110.0,False,True
133,133,CNN_182_E_1060_2,110.0,False,True
134,134,CNN_192_E_16_7,110.0,False,False
135,135,CNN_613U_C_18539_23,380.0,False,True
136,136,CNN_113F_E_21808_5,110.0,False,False
137,137,CNN_62E_J_14179_39,20.0,False,True
138,138,CNN_0503201747290148948732_E_918,110.0,False,False
139,139,CNN_630C2_E_29031_11,110.0,False,True
140,140,CNN_734_E_18551_6,110.0,False,False
141,141,CNN_173A_E_24_69,110.0,False,True
142,142,CNN_648E_J_31205_2,10.0,True,True
143,143,CNN_589U1_E_5495_20,110.0,False,True
144,144,CNN_F8R_C_18521_34,380.0,False,True
145,145,CNN_605U1_E_20813_2,110.0,True,True
146,146,CNN_0505100757150127789640_E_261,110.0,False,False
147,147,CNN_625_E_1053_26,110.0,False,True
148,148,CNN_301N_E_3333_1,110.0,False,False
149,149,CNN_1512291016090107491128_E_197,110.0,False,True
150,150,CNN_4543.126 Füssen West g_D_198,220.0,False,False
151,151,CNN_0504190848360363697221_E_212,110.0,False,False
152,152,CNN_729_E_28454_11,110.0,False,True
153,153,CNN_0503251758590585656664_E_103,110.0,False,True
154,154,CNN_645_J_19342_4,20.0,False,False
155,155,CNN_0505061617000169191010_E_193,110.0,False,False
156,156,CNN_389A_J_2770_88,20.0,False,True
157,157,CNN_18O_E_5498_3,110.0,False,True
158,158,CNN_1311302212320000072323_E_334,110.0,False,False
159,159,CNN_423E_J_22251_82,20.0,False,True
160,160,CNN_F9R_C_18522_3,380.0,True,True
161,161,CNN_179U_E_9171_16,110.0,False,True
162,162,CNN_613U_C_18539_1,380.0,False,False
163,163,CNN_459B_J_3360_13,20.0,True,False
164,164,CNN_630C2_E_29031_2,110.0,False,True
165,165,CNN_0504191310140157127890_E_553,110.0,True,False
166,166,CNN_173A_C_18538_17,380.0,False,True
167,167,CNN_685_E_10368_2,110.0,False,True
168,168,CNN_114B_J_17275_59,20.0,True,True
169,169,CNN_48U_E_5535_13,110.0,True,True
170,170,CNN_60501.207 V11 schwarz_E_25_1,110.0,False,False
171,171,CNN_576Q_E_28463_6,110.0,False,True
172,172,CNN_245B_E_26149_3,110.0,False,False
173,173,CNN_0504140857120023993508_E_331,110.0,False,False
174,174,CNN_1005090929420237276510_E_203,110.0,False,False
175,175,CNN_0504201131020176515777_E_212,110.0,False,True
176,176,CNN_590B_E_5518_6,110.0,False,False
177,177,CNN_113F_E_21808_15,110.0,False,True
178,178,CNN_1206172141070000325006_E_549,110.0,True,False
179,179,CNN_625_E_1053_21,110.0,False,True
180,180,CNN_173A_C_18538_23,380.0,False,True
181,181,CNN_630F2_E_3309_23,110.0,False,True
182,182,CNN_28C_E_14727_12,110.0,False,True
183,183,CNN_734_E_18551_5,110.0,False,False
184,184,CNN_0503251758590653515830_E_103,110.0,False,False
185,185,CNN_576Q_E_28463_7,110.0,False,True
186,186,CNN_651_J_11940_1,20.0,False,False
187,187,CNN_389A_J_2770_12,20.0,False,False
188,188,CNN_173A_E_24_63,110.0,False,True
189,189,CNN_625_E_1053_11,110.0,False,False
190,190,CNN_730_E_2750_2,110.0,True,True
191,191,CNN_629_J_19740_38,20.0,False,True
192,192,CNN_173A_C_18538_33,380.0,False,True
193,193,CNN_0612220900190239481792_E_552,110.0,False,True
194,194,CNN_F8R_C_18521_17,380.0,False,True
195,195,CNN_0505101433070124904430_E_284,110.0,False,False
196,196,CNN_649_J_19368_39,3.0,False,True
197,197,CNN_AMP1_C_19828_10,380.0,False,True
198,198,CNN_631B_J_2_39,3.0,False,True
199,199,CNN_391L_J_31208_4,10.0,True,True
200,200,CNN_11501.86 V6 grün_E_470_1,110.0,False,False
201,201,CNN_0503201747290000334400_E_917,110.0,False,False
202,202,CNN_685_E_10368_1,110.0,False,False
203,203,CNN_301N_E_3333_14,110.0,False,True
204,204,CNN_0504171603490065997010_E_218,110.0,False,True
205,205,CNN_0503201207150114124435_E_128,110.0,False,False
206,206,CNN_0505100854500005431075_E_261,110.0,False,False
207,207,CNN_712_E_18556_26,110.0,True,True
208,208,CNN_60501.207 V11 schwarz_E_25_2,110.0,False,True
209,209,CNN_66001.11 O6/1 blau_E_19748_3,110.0,False,False
210,210,CNN_630A4_J_3321_2,6.0,True,True
211,211,CNN_0504191336400070475328_E_553,110.0,True,True
212,212,CNN_0504191336400295779540_E_217,110.0,False,True
213,213,CNN_340M_J_13434_6,20.0,False,False
214,214,CNN_173A_E_24_21,110.0,False,False
215,215,CNN_529N_J_29_11,20.0,True,False
216,216,CNN_279A_E_15559_12,110.0,False,True
217,217,CNN_51004.82/6a W5/2 gelb_E_1472,110.0,True,False
218,218,CNN_28C_E_14727_11,110.0,False,True
219,219,CNN_423E_J_22251_154,20.0,False,True
220,220,CNN_249K_E_3342_1,110.0,False,False
221,221,CNN_651_J_11940_46,20.0,True,True
222,222,CNN_0505100854500116846843_E_261,110.0,False,False
223,223,CNN_712_E_18556_1,110.0,False,False
224,224,CNN_69C_E_21248_14,110.0,False,True
225,225,CNN_588X_E_5523_16,110.0,True,True
226,226,CNN_630F2_E_3309_15,110.0,False,True
227,227,CNN_613U_E_5509_46,110.0,False,True
228,228,CNN_173A_C_18538_13,380.0,False,True
229,229,CNN_0504190956290279787038_E_218,110.0,False,True
230,230,CNN_0504171444070030958046_E_218,110.0,False,False
231,231,CNN_118_J_4633_86,20.0,True,True
232,232,CNN_11351.156 E6 schwarz_E_3357_,110.0,False,True
233,233,CNN_4521.100B Günzburg Nor_C_198,380.0,False,False
234,234,CNN_69C_J_21253_4,10.0,True,False
235,235,CNN_F12R_H_18531_2,30.0,False,True
236,236,CNN_66001.49 O6/2 grün_E_19735_3,110.0,False,False
237,237,CNN_58001.233b B5 schwarz_E_2033,110.0,False,True
238,238,CNN_732_E_28451_6,110.0,False,False
239,239,CNN_F9R_C_18522_35,380.0,False,True
240,240,CNN_729_J_28456_10,6.0,False,True
241,241,CNN_1010092240070143668020_C_185,380.0,False,False
242,242,CNN_64001.39 U6/2 blau_E_2758_2,110.0,False,True
243,243,CNN_640P5_J_3347_3,6.0,False,True
244,244,CNN_423E_E_22253_5,110.0,False,False
245,245,CNN_1206172312540003473148_E_163,110.0,False,True
246,246,CNN_173A_J_20930_53,20.0,False,True
247,247,CNN_332K_J_4052_24,20.0,False,True
248,248,CNN_121K_E_20325_11,110.0,False,True
249,249,CNN_205B_E_1057_5,110.0,False,False
250,250,CNN_F8R_C_18521_2,380.0,True,True
251,251,CNN_630A4_J_3321_6,6.0,False,True
252,252,CNN_144G_E_138_6,110.0,False,False
253,253,CNN_11611.46 R11 schwarz_E_19637,110.0,False,False
254,254,CNN_19U_E_5494_8,110.0,False,True
255,255,CNN_630C2_J_29032_21,10.0,False,True
